Date,Record Number,Record Type,Description,Project Name,Status,Short Notes
9/18/2019,BCP2019-090613,Building - Construction Permit,"REMOVE SECTION IN FRONT OF GARAGE & POURING CONCRETE 42 "" FROM HOUSE ON EACH SIDE FOR WALKWAY TO LEAD TO BACK DOOR. POURING A SLAB ON THE NORTH SIDE OF REAR OF THE HOUSE AREA. CONVERTING GARAGE TO ANOTHER BEDROOM AREA.(HAS DOG IN BACKYARD)","HIGHSMITH, LUMAN",Revisions Needed,Replacement
9/18/2019,BCP2019-090612,Building - Construction Permit,REPLACE 11 WINDOWS S/S IMPACT FL 16735.1 FL 13010.4 FL 16735.2 FL 9520.1,PAULA R WILHELM,Completed,Replacement
9/18/2019,BCP2019-090610,Building - Construction Permit,Online Permit - Reroof 24 Sq's GAF Timberline HD Shingles FL10124-R20; Resisto Underlayment FL2569-R13; Pitch:  4/12,Janet Daughtry,Completed,Roof
9/18/2019,BCP2019-090608,Building - Construction Permit,REPLACE FRONT WINDOWS,ANDREW WILLIAM BROWN,Completed,Replacement
9/18/2019,BCP2019-090607,Building - Construction Permit,REPLACE FRONT WINDOW S/S,STEVEN A KRELOFF,Completed,Replacement
9/18/2019,BCP2019-090606,Building - Construction Permit,WOOD PICKET FENCE 4 X 146. GOOD SIDE FACING OUT,"WOOLUMS, SUZANE",Completed,Fence
9/18/2019,BCP2019-090605,Building - Construction Permit,"INSTALL 22 KW GENERATOR WITH (1) 200 AMP TRANSFER SWITCH ONTO A (4 INCH) PREPOURED CONCRETE PAD, CONNECT TO EXISTING NATURAL GAS SYSTEM.","HOUVARDAS, PAUL (MAJESTIC OAK)",Completed,Generator
9/18/2019,BCP2019-090604,Building - Construction Permit,"REMOVE AND DISPOSE OF ENTIRE STRUCTURE, INCLUDING CONCRETE SLAB AND FOOTER, TREE PERMIT PULLED SEPARATE TRE2019-09029",AVALON CLUB LLC,Completed,Demo - Building
9/18/2019,BCP2019-090603,Building - Construction Permit,"REMOVE AND DISPOSE OF ALL STRUCTURES INCLUDING CONCRETE SLAB AND FOOTERS, TREE PERMIT PULLED SEPARATE TRE2019-09029",AVALON CLUB LLC,Completed,Demo - Building
9/18/2019,BCP2019-090602,Building - Construction Permit,"Online Permit - remove existing and install new OC shingles fl#10674.R12, peel and stick underlayment FL#9777.r1, install new flat FL#984.R1, 30sq",LITTON,Completed,Roof
9/18/2019,BCP2019-090601,Building - Construction Permit,"REMOVE AND DISPOSE OF ALL STRUCTURES INCLUDING CONCRETE SLAB AND FOOTERS, TREE PERMIT PULLED SEPARATE TRE2019-09029",AVALON CLUB LLC,Completed,Demo - Building
9/18/2019,BCP2019-090600,Building - Construction Permit,INSTALL 22 KW GENERATOR AND PRE-MANUFACTURED CONCRETE PAD WITH ALLUMINUM STAND; (1) 200 AMP TRANSFER SWITCH; INSTALL TANKLESS WATER HEATER; CONNECTING TO EXISTING GAS (GAS TRADE ADDED 10/29/2019 MJ),"CLARK, TERRY D TRE",Completed,Generator
9/18/2019,BCP2019-090599,Building - Construction Permit,Online Permit - Replacement of existing exterior light poles & fixtures with LED style lights.,FL2-743 ELP Lighting upgrade,Completed,Electrical
9/18/2019,BCP2019-090596,Building - Construction Permit,"REPLACE WINDOW, REFRAME OPENING TO FIT, REFINISH EXTERIOR, (1) HORRIZONTAL SLIDER (FL#17793.1)","RODIMER, DENIS",Completed,Replacement
9/18/2019,BCP2019-090595,Building - Construction Permit,"Online Permit - <$300k Remove and replace existing shingles and replace with new shingles. 14 squares shingles, 4 squares mod bit. Product appr 18355",Vellucci Res,Completed,Roof
9/18/2019,BCP2019-090594,Building - Construction Permit,Online Permit - Change out garage door9x7  FL#13521.6  Amarr,Worley,License Holder Self Certify,"Windows, Doors and Garage Doors"
9/18/2019,BCP2019-090593,Building - Construction Permit,"Online Permit - <$300K Re-roof, OC Duration FL10674-R13, Peel and Stick Underlayment FL9777-R11, 4/12 pitch-23 squares, Flat FL2533-R20-3 squares","Kindl, Dietrich",Completed,Roof
9/18/2019,BCP2019-090592,Building - Construction Permit,REMODEL 2 BATHROOMS SAME FIXTURES SAME LOCATIONS,CAROL HELICKE,Active,Replacement
9/18/2019,BCP2019-090591,Building - Construction Permit,Online Permit - Change out garage door16x7  FL#13521.5  Amarr,Rubaii,Completed,"Windows, Doors and Garage Doors"
9/18/2019,BCP2019-090590,Building - Construction Permit,Online Permit - Change out garage door16x7  FL#17189.2  Amarr,Merriam,Completed,"Windows, Doors and Garage Doors"
9/18/2019,BCP2019-090589,Building - Construction Permit,REMOVE/REPLACE FRONT DOOR S/S 25% RULE FL 13541.6,MACKEY LIV TRUST,Completed,Replacement
9/18/2019,BCP2019-090587,Building - Construction Permit,"Online Permit - 30sq. remove existing flat roof, re-nail deck, install tapered insulation system (mechanically fastened), install new TPO roof system (FL# 15885.1, w-39)",1275 Cleveland St,Completed,Roof
9/18/2019,BCP2019-090586,Building - Construction Permit,REPLACEMENT & RELOCATION OF (11) EXISTING EXHAUST FANS IN THE 4TH FLOOR MECHANICAL ROOM OF DOYLE TOWER. MODIFICATIONS INCLUDE DUCTWORK & ELECTRICAL REVISIONS. NEW EXTERIOR LOUVERS ARE NEEDING TO BE ADDED ALONG WITH A NEW MAINTENANCE PLATFORM FOR FAN ACCESS. PHASING IS TO OCCUR TO PROMOTE LITTLE HOSPITAL IMPACT.     SPECIAL INSPECTOR = RICHARD TEMPLE  FL#38354   Expires 2/28/21.,DOYLE TOWER - EF RENOVATION-4TH FLOOR,Active,Replacement
9/18/2019,BCP2019-090585,Building - Construction Permit,8 X 10 SLAB IN BACK YARD AND L SHAPED SLAB ALONG NE CORNER OF HOUSE,"DULMES, GLENN",Completed,"New Accessory (Shed, Deck)"
9/18/2019,BCP2019-090584,Building - Construction Permit,Online Permit - INSTALL ROOF MOUNTED PV,Drozd,Active,Electrical
9/18/2019,BCP2019-090583,Building - Construction Permit,SWO2019-07002-SMALL EXISTING GAZEBO MAKE CODE COMPLIANT W/PERMIT - (SEPARATE PERMIT FOR GAZEBO ONLY APPROVED PER DANA R.) FL 7271.1 FL 5259.1,KENGDI WU,Active,Replacement
9/18/2019,BCP2019-090582,Building - Construction Permit,"FLS2019-03009 NEW CONSTRUCTION BUILDING #1 CLUBHOUSE, LEASING & 18 UNITS",ALTA CLEARWATER,Active,New Multi-Family Dwelling
9/18/2019,BCP2019-090580,Building - Construction Permit,"RE-ROOF 38 SQ SHINGLE, FL10674.1, FL9777.1",SMITH,Completed,Roof
9/18/2019,BCP2019-050655A,Building - Amendment,REPLACE EXISTING ZINSCO 100 AMP PANEL FOR SQUARE D 100 AMP MAIN LUG 24 SPACE PANEL & CIRCUIT BREAKERS,COACHMAN CREEK CONDO ASSN,Completed,undefined
9/17/2019,SWO2019-09024,Building/Enforcement/Stop Work Order/SWO,**3X FEE**-Interior remodel - New fitness center,,No Violation,undefined
9/17/2019,SWO2019-09023,Building/Enforcement/Stop Work Order/SWO,**3X FEE**-STRUCTURE BUILT IN THE REAR OF THE PROPERTY - APPEARS TO BE IN THE SETBACK - NO PERMITS,,No Violation,undefined
9/17/2019,BCP2019-090578,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Equal c/o s/c 2.5 ton split systems 5 kw heat strip condenser side of bldg. a/h vertical closetCarrier 24ACC430/ FMA4X30 (Air Handler,Condenser)",Richard Carter,Completed,A/C Change Out
9/17/2019,BCP2019-090577,Building - Over the Counter Permit,Online Permit - Electrical - Remove and replace the meter can due to the old and rusty. (Upgrade Service),Kevin Galazka,Completed,Electrical
9/17/2019,BCP2019-090576,Building - Over the Counter Permit,Online Permit - Gas Line - PIPE NATURAL GAS TO TANKLESS WATER HEATER AND BBQ GRILL,"ROBERTS, DANNY",Completed,Gas Line
9/17/2019,BCP2019-090570,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Install a Rheem 3-ton Straight Cool system, 8 KW heater. A/H M#RH1P3617STANJA & C/U M#RA1436AJ1NA. (Air Handler,Condenser)",4575,Completed,A/C Change Out
9/17/2019,BCP2019-090568,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Install a Comfortmaker 2-ton 24,000 BTU Heat pump system. 5 KW heater. A/H M# FXM4X3600AL & C/U M# N4H424GKG Seer 15 HSPF 8.5 (Air Handler,Condenser)","Chenault, Michelle",Completed,A/C Change Out
9/17/2019,BCP2019-090566,Building - Over the Counter Permit,Online Permit - Water Heater Change Out - Replace exiisting electric water heater,Lloveras,Completed,Water Heater Change Out
9/17/2019,BCP2019-090564,Building - Over the Counter Permit,"Online Permit - A/C Change Out - C/O 2T CONDENSER, AIR HANDLER W/10KW HTR, DISC BOX & BREAKER.?�AMERICAN STANDARD/16 SEER/ARI#8784478COND M#4A7A6A24AH M#TMM5A0B24 (Air Handler,Condenser)",CAMPBELL,Completed,A/C Change Out
9/17/2019,BCP2019-090563,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Equal A/C change out RP1442AJ1NA, RH1T4821STANJA 7kw heat (Air Handler,Condenser)",Ramanath,Completed,A/C Change Out
9/17/2019,BCP2019-090560,Building - Over the Counter Permit,"Online Permit - A/C Change Out - AH- TEM6A0B30H21SBC/U-4TWR5030H1000A (Air Handler,Condenser)",bleattler,Completed,A/C Change Out
9/17/2019,BCP2019-090554,Building - Over the Counter Permit,"Online Permit - A/C Change Out - ECO - Trane XR14 2 ton A/C system 14 SEER with 5kw heaterA/H - TMM4A0A24Cond - 4TTR4024AHRI#8714903 (Air Handler,Condenser)",Dameron,Completed,A/C Change Out
9/17/2019,BCP2019-090553,Building - Over the Counter Permit,Online Permit - Electrical - Replace main electrical panel. Like for like. (Change Panel Box),"Arbuthnot, Paul",Completed,Electrical
9/17/2019,BCP2019-090543,Building - Over the Counter Permit,Online Permit - Water Heater Change Out - Replace 40 gallon electric water heater.,Water Heater Replacement,Completed,Water Heater Change Out
9/17/2019,BCP2019-090541,Building - Over the Counter Permit,Online Permit - Gas Water Heater - replace gas water heater,Hunsicker Water Heater,Completed,Gas Water Heater
9/17/2019,BCP2019-090539,Building - Over the Counter Permit,"Online Permit - A/C Change Out - EQUAL CHANGE OUT, NO ELECTRIC, 3 TON CONDENSER & AIR HANDLER, 15.0 SEER, 5KW. (Air Handler,Condenser)",EDWALL,Completed,A/C Change Out
9/17/2019,BCP2019-090537,Building - Over the Counter Permit,"Online Permit - A/C Change Out - EQUAL AC CHANGE OUT S/C Air Handler Model #:Avptc29b14aCondensing Unit Model #:Asx140241L (Air Handler,Condenser)",CRUISE,Completed,A/C Change Out
9/17/2019,BCP2019-090536,Building - Over the Counter Permit,"Online Permit - A/C Change Out - ECO 16 seer 3.5 ton heat hump w 10 kw (Air Handler,Condenser)",Belanger,Completed,A/C Change Out
9/17/2019,BCP2019-090535,Building - Over the Counter Permit,Online Permit - Gas Water Heater - Replace Gas Water heater,Mannino Heater,Completed,Gas Water Heater
9/17/2019,FIR2019-09012,Building - Fire,RELOCATING EXISTING FIRE SPRINKLER HEADS,STARBUCKS,Completed,Fire Sprinkler
9/17/2019,ENG2019-09003,Building - Engineering,ROW PERMIT #2019-282 - INSTALLATION OF TWO SHALLOW GROUNDWATER MONITORING WELLS.,ALEX PEARSON,Completed,Right of Way
9/17/2019,BCP2019-090574,Building - Construction Permit,"RE-ROOF 8 SQ MODIFIED BITUMEN FL 2533.1 TORCH APPLIED 1/4"" / 12 PITCH",HERMAN SADLER,Completed,Roof
9/17/2019,BCP2019-090573,Building - Construction Permit,"RE-ROOF 18SQ SHINGLE FL 18355.1, SELF-ADHERING PEEL & STICK FL 16048.1 1 1/4"" EG NAILS 4/12 PITCH 3 SQ MODIFIED BITUMEN RE-ROOF FL 2533.1 TORCH APPLIED 1/4"" / 12"" PITCH",FRANCIS DORIS PAREDES PAREDES,Completed,Roof
9/17/2019,BCP2019-090571,Building - Construction Permit,"Online Permit - <$300k Remove existing flat roof, install new flat roof",Re-roof / flat,Completed,Roof
9/17/2019,BCP2019-090569,Building - Construction Permit,REROOF FL 16226.1; FL 16305.1 (LESS THAN 300T),RHONDA R HOOKS,Completed,Roof
9/17/2019,BCP2019-090567,Building - Construction Permit,REPLACE 1 WINDOW S/S WITH IMPACT FL 19252.4,DEVAN BLACK,Completed,Replacement
9/17/2019,BCP2019-090565,Building - Construction Permit,"REPLACE 6 WINDOWS S/S WITH NON-IMPACT EACH WINDOW WILL ALSO BE COVERED WITH STORM PROTECTION. FL 11161.1, FL 16809.8, FL 11206.10, FL 11291.1 ( THEY HAVE DOGS WHO BITE)",ANGELA HOLDER,Completed,Replacement
9/17/2019,BCP2019-090562,Building - Construction Permit,"ROOF OVER ON MOBILE HOME: SHINGLE PLY ROOF SYSTEMS FL#10124.1, UNDERLAYMENT FL#2569.1)",WATSON-MOBILE HOME LOT #25,Completed,Roof
9/17/2019,BCP2019-090561,Building - Construction Permit,INSTALL HURRICANE PROTECTION 5 SHUTTERS FL#13987.1 - 1 EZ SCREEN FL#14110.1,CECILE M DANIELSON,Completed,"New Accessory (Shed, Deck)"
9/17/2019,BCP2019-090559,Building - Construction Permit,"ASPHALT MILL AND OVERLAY 3,045 SQ YARDS AT 1.5"" DEPTH. LAYOUT STRIPING TO EXISTING 49 SPACES",OAKS OF NORTHWOOD CONDO ASSN,Completed,Parking
9/17/2019,BCP2019-090558,Building - Construction Permit,Online Permit - Demo and replace existing concrete driveway from garage to street & sidewalk from driveway to front entry.  Entry and steps to remain.  All using 3000 psi fiber mix concrete.,Welch,Completed,Repair
9/17/2019,BCP2019-090557,Building - Construction Permit,TEAR OFF EXISTING AND INSTALL NEW SHINGLE 29 SQ FL#10674.1;  FL#9777.1 (LESS THAN 300T),SARAH M MALONEY,Completed,Roof
9/17/2019,BCP2019-090555,Building - Construction Permit,REMOVE & REPLACE ROOF 30 SQ FLAT FL#984.1,CONSTANCE S BROWN,Completed,Roof
9/17/2019,BCP2019-090552,Building - Construction Permit,REMOVE ROOF & INSTALL NEW MODIFIED BITUMEN 1700 SQ FT FL#2533.1,LORENE L HALL-JENNINGS,Completed,Roof
9/17/2019,BCP2019-090551,Building - Construction Permit,"REPLACING 2 IMPACT WINDOWS, FL239.7, FL1844.3",BROTMAN,Completed,Replacement
9/17/2019,BCP2019-090550,Building - Construction Permit,"REPLACING 2 IMPACT WINDOWS, 4 SGD AND FRONT DOOR, ALL IMPACT, FL242.7, FL251.10, FL17184.9",SINICROPE,Completed,Replacement
9/17/2019,BCP2019-090549,Building - Construction Permit,"REPLACING 1 IMPACT SGD, FL251.10",TOMOSCHUK,Completed,Replacement
9/17/2019,BCP2019-090548,Building - Construction Permit,PARKING LOT REBUILD; REMOVE ASPHAULT AND INSTALL LIME ROCK BASE; REPAVE; STRIPE TO CODE,610 ISLAND WAY CONDO ASSN INC,Completed,Parking
9/17/2019,BCP2019-090547,Building - Construction Permit,"Online Permit - Equal change out of two heat pump split systems with heat strips. 4 ton - Condenser model # 4TWV0048, AHU # TAM9A0C48, 8kw heat strip,  AHRI # 10093499, SEER 19.25, HSPF 10. 2 ton- Condenser model # 4TWR5024, AHU # GAF2A0A36, 5kw heat strip, AHRI # 10055625, SEER 15, HSPF 8.5.",Bruce Guilbeault,Completed,A/C Change Out
9/17/2019,BCP2019-090546,Building - Construction Permit,Online Permit - Replace like for like 150A panelSee documents for letter; removed 2-50A circuits in garage 09/30/2019,Bette Barovian,Completed,Electrical
9/17/2019,BCP2019-090545,Building - Construction Permit,Online Permit - Replace like for like 150A panel. update grounding system,Steve Germain,Completed,Electrical
9/17/2019,BCP2019-090544,Building - Construction Permit,INSTALL WOOD FENCE 6' HEIGHT 100' LF (GOOD SIDE MUST FACE OUT),JAMES A ZIMMERMAN,Completed,Fence
9/17/2019,BCP2019-090542,Building - Construction Permit,SWO2019-09012REMOVE 60' INTERIOR PARTITION WALLS TO MAKE OPEN SPACE;  REPLACE DAMAGED CEILING TILES AS NEEDED; SAFE OFF ELECTRIC AND CAP PLUMBING AS NEEDED,SHELL,Active,Interior Demo
9/17/2019,BCP2019-090540,Building - Construction Permit,Online Permit - Remove and replace 6 SQ's of modified bitumen on flat roof,All trades flat roof,Completed,Roof
9/17/2019,BCP2019-090538,Building - Construction Permit,Online Permit - <$300K Remove existing roof materials. Renail deck to current code. Install IRXE underlaymant (FL5259) and OC Duration Shingles (FL10674) on pitched portion 4/12 pitch and Certainteed mod bit system (FL2533) on low slope,Wong Reroof,Completed,Roof
9/17/2019,BCP2019-080046A,Building - Amendment,CHANGING RAMP LOCATION SEE ATTACHED PLANS,RAMP,Completed,undefined
9/17/2019,FIR2019-05016A,Building - Amendment,ADDING ONE ADDITIONAL FIRE SPRINKLER,KNOW B 4,Completed,undefined
9/17/2019,BCP2019-050981A,Building - Amendment,ELEVATION CERTIFICATE / UNDER CONSTRUCTION,LAKEY,Completed,undefined
9/17/2019,BCP2019-050971A,Building - Amendment,ELEVATION CERTIFICATE - UNDER CONSTRUCTION,LAKEY,Void,undefined
9/16/2019,SWO2019-09022,Building/Enforcement/Stop Work Order/SWO,"ROOF NEEDS SIGNED & SEALED DRAWINGS-JOINTS REPLACED, SHEATHING, FASCIA, ETC**3X FEE**--Work being done-NO PERMIT-Roof",,MCEB - In Violation,undefined
9/16/2019,SWO2019-09021,Building/Enforcement/Stop Work Order/SWO,**3X FEE**-ELECTRICAL AND OTHER WORK BEING DONE,,No Violation,undefined
9/16/2019,SWO2019-09020,Building/Enforcement/Stop Work Order/SWO,**3X FEE**-INSTALLED PAVERS ALL OVER THE FRONT WITH 4 FOOT FENCE,,No Violation,undefined
9/16/2019,BCP2019-090534,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Equal change out 3 ton 14 seer vertical s/c split system with 7.5 k.w. heat (Air Handler,Condenser)",716A,Completed,A/C Change Out
9/16/2019,BCP2019-090533,Building - Over the Counter Permit,Online Permit - Electrical - REPLACE 150AMP PANEL (LIKE FOR LIKE). REPLACE SWITCHES AND RECEPTACLES THROUGHOUT HOUSE. (813) 416-0399 LUIS. (Change Panel Box),"VASQUEZ,GINA",Completed,Electrical
9/16/2019,BCP2019-090530,Building - Over the Counter Permit,"Online Permit - A/C Change Out - 2 ton changeout  with 5 kw heat stripCU mod RP1724ah mod RH2T2417SEAC (Air Handler,Condenser)",hensley,Completed,A/C Change Out
9/16/2019,BCP2019-090528,Building - Over the Counter Permit,Online Permit - Electrical - service change (Change Panel Box),service change,Completed,Electrical
9/16/2019,BCP2019-090523,Building - Over the Counter Permit,Online Permit - Gas Water Heater - WATER HEATER CHANGE OUT,ZACAIM,Completed,Gas Water Heater
9/16/2019,BCP2019-090521,Building - Over the Counter Permit,Online Permit - Electrical - replace zinsco panel for new eaton panel (Change Panel Box),panel replacement,Completed,Electrical
9/16/2019,BCP2019-090520,Building - Over the Counter Permit,Online Permit - Electrical - Panel Change out (Change Panel Box),Raphael,Completed,Electrical
9/16/2019,BCP2019-090518,Building - Over the Counter Permit,"Online Permit - A/C Change Out - A/C C/O CONDENSER & A/H 15 SEER, 4 TON H/P 7.5KW, RHEEM RP1548AJ1NA & RHIT4821STNAJA (Air Handler,Condenser)  replace hot water recovery unit.",FESLER,Completed,A/C Change Out
9/16/2019,BCP2019-090517,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Equal change out of air conditioner (Air Handler,Condenser)",Change Out,Completed,A/C Change Out
9/16/2019,BCP2019-090515,Building - Over the Counter Permit,"Online Permit - A/C Change Out - E/C/O 4 TON 14 SEER VERT S/C SPLIT SYSTEM - COND-4TTR4048  A/H -TEM4A0C48 (Air Handler,Condenser)",TONOFF,Completed,A/C Change Out
9/16/2019,BCP2019-090514,Building - Over the Counter Permit,"CHANGE OUT CARRIER 3 TON HEAT PUMP, VERTICAL SPLIT SYSTEM WITH 5KW HEAT, 16 SEER, A/H MOD #FE4ANF002, CODE MOD # 25VNA836",PAULA D JORDAN,Completed,Water Heater Change Out
9/16/2019,BCP2019-090507,Building - Over the Counter Permit,EQUAL CHANGE OUT 3 TON STRAIGHT COOL SPLIT WITH 10 KW HEATER. CHAMPION 17 S.E.E.R.,"MARKUSSEN, SHAWN",Completed,A/C Change Out
9/16/2019,BCP2019-090505,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Install 2 ton 14 seer 410A S/C sys 5kwCOND- RA1424BJ1NAA/H- RH1P2417STANJA (Air Handler,Condenser)","BRUNO, ALFREDO",Completed,A/C Change Out
9/16/2019,BCP2019-090504,Building - Over the Counter Permit,"Online Permit - A/C Change Out - E/C/O 4 TON 14 SEER VERT S/C SPLIT SYSTEM COND-4TTR4048  A/H-TEM4A0C48 (Air Handler,Condenser)",CASNER,Completed,A/C Change Out
9/16/2019,BCP2019-090503,Building - Over the Counter Permit,Online Permit - Electrical - REPLACE EXISTING PANEL WITH 125 AMP MLO (Change Panel Box),NANCY DOW / SUSAN  ZINKEL,Completed,Electrical
9/16/2019,BCP2019-090494,Building - Over the Counter Permit,"Online Permit - A/C Change Out - EQUAL HVAC CHANGE OUT 1.5 TON 18 SEER (Air Handler,Condenser)",CHALET ON WHITE SANDS,Completed,A/C Change Out
9/16/2019,BCP2019-090492,Building - Over the Counter Permit,Online Permit - Electrical - E/C/O OF ELECTRICAL PANEL,MULLEN PANEL 103084,Completed,Electrical
9/16/2019,BCP2019-090489,Building - Over the Counter Permit,Online Permit - Water Heater Change Out - install water heater,Licciardi Water Heater,Completed,Water Heater Change Out
9/16/2019,BCP2019-090487,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Install a Comfortmaker 4-ton 48,000 BTU Heat pump system 8 KW heater. Seer 14 HSPF 8.2. A/H M#FEM4X4800BL & C/U M#N4H448GKG (Air Handler,Condenser)","McPike, John",Completed,A/C Change Out
9/16/2019,BCP2019-090486,Building - Over the Counter Permit,"Online Permit - A/C Change Out - ECO- Trane XR16 2.5 ton A/C system 16 SEER with 10kw heaterA/H- TEM6A0B30Cond - 4TTR6030AHRI#-8626669 (Air Handler,Condenser)",Brooks,Completed,A/C Change Out
9/16/2019,BCP2019-090482,Building - Over the Counter Permit,"Online Permit - A/C Change Out - CHANGE OUT, WITH ELECTRIC, 2 TON CONDENSER & AIR HANDLER, 14.0 SEER, 8KW.",BURKE,Completed,A/C Change Out
9/16/2019,BCP2019-090480,Building - Over the Counter Permit,Online Permit - Water Heater Change Out - install water heater,Water Heater Install,Completed,Water Heater Change Out
9/16/2019,BCP2019-090474,Building - Over the Counter Permit,"Online Permit - A/C Change Out - EQUAL CHANGE OUT OF 3 TON AC SYSTEM (Air Handler,Condenser)",SHELDON,Completed,A/C Change Out
9/16/2019,BCP2019-090532,Building - Construction Permit,Online Permit -<$300K  Re-roof shingle & repair small flat roof.  Squares = 12.53; Pitch = 3; Underlayment =Suprema Resisto (FL2569-R15) Shingle = CertainTeed Landmark (FL5444-R14),Contreras,Completed,Roof
