Date,Record Number,Record Type,Description,Project Name,Status,Short Notes
4/23/2021,BCP2021-040855,Building - Construction Permit,NEW GARAGE ADDITION AND REMODEL EXISTING GARAGE TO LIVING SPACE,KEVIN K KANYUCK,In Review,Addition
4/23/2021,BCP2021-040853,Building - Construction Permit,Online Permit - Change out garage door 16x7 FL#15504.3 Clopay,Offerpad,Active,"Windows, Doors and Garage Doors"
4/23/2021,BCP2021-040851,Building - Construction Permit,ADDITION TO DRIVEWAY WITH 16X16X4 CONCRETE BLOCKS AND CONCRET AT PROPERTY LINE. SEE DIAGRAM,"ORTIZ, DAGMAR",In Review,Driveway
4/23/2021,BCP2021-040849,Building - Construction Permit,Online Permit - Replace 4 windows size for size with non-impact. Homeowner has existing storm protection panels FL# 5329.1,Holt 11055243,Active,"Windows, Doors and Garage Doors"
4/23/2021,BCP2021-040847,Building - Construction Permit,Online Permit - Exterior Building Restoration including: Sealant restoration; painting of Exterior Surfaces; Replace delaminated Stucco; Concrete Repairs; Remove & Replace metal stud framed curtain walls as directed by engineer; Remove and replace Sliding Glass door windows,Harbourage II Exterior Building Renovations,Additional Info Required,Repair
4/23/2021,BCP2021-040843,Building - Construction Permit,"Online Permit - <300k HOUSE & GARAGE - 23sq/11sq. Remove existing roof, re-nail deck, install peel & stick underlayment (FL # 5259.1), install new shingles (FL# 10124.1). 4/12 pitch. 1 story.",2216 Sequoia,Active,Roof
4/23/2021,BCP2021-040841,Building - Construction Permit,SWO2021-04008 ABOVE GROUND POOL,WRIGHT,In Review,Pool - Above Ground
4/23/2021,BCP2021-040840,Building - Construction Permit,"Online Permit - <300K - Reroof 27sq shingle 6sq flat FL9777, FL17084 (W30)",Denino Reroof,Active,Roof
4/23/2021,BCP2021-040839,Building - Construction Permit,Online Permit - Renovations to the existing Boathouse building at the Coachman Park site area as part of Imagine Clearwater,Imagine Clearwater - Existing Boathouse Renovation,Received,Remodel
4/23/2021,BCP2021-040838,Building - Construction Permit,Online Permit - New event restroom building at Coachman Park,Imagine Clearwater - Event Restroom,Received,New
4/23/2021,BCP2021-040837,Building - Construction Permit,Online Permit - New Bandshell building construction at Coachman Park,Imagine Clearwater - Bandshell,Received,New
4/23/2021,BCP2021-040836,Building - Construction Permit,Online Permit -<300k Reroof 33sq shingle 3sq flat,Wogoman Reroof,Active,Roof
4/23/2021,BCP2021-040835,Building - Construction Permit,Online Permit - New restroom for the IWF at Coachman Park,Imagine Clearwater - IWF Restroom,Received,New
4/23/2021,BCP2021-040834,Building - Construction Permit,Online Permit - New Construction for the Dockmaster Building at Coachman Park,Imagine Clearwater - Dockmaster,Received,New
4/23/2021,BCP2020-090498A,Building - Plan Amendment Application (Online),Online Permit - CHANGE OUT ELECTRIC HEAT PUMP POOL HEATER FOR NAT GAS POOL HEATER. PIPE NAT GAS TO THAT POOL HEATER. WILL NEED PLUMBING AND ELECTRIC REOPENED TO DO CHANGE OUT.,"REEKSTIN, KARL AND DEBORAH -- Plan Amendment(BCP2020-090498)",In Review,Replacement
4/23/2021,BCP2021-010574A,Building - Plan Amendment Application (Online),Online Permit - Add 8Sq Flatroof FL2533-R24,Susan Berman -- Plan Amendment(BCP2021-010574),Completed,Roof
4/23/2021,BCP2021-020420A,Building - Plan Amendment Application (Online),Online Permit - change product approval due to the manufacturer discontinuing the product. New description: REMOVE AND REPLACE 5 WINDOWS AND 1 SLIDING GLASS DOOR SIZE FOR SIZE. FL#20838.1/ 16735.1/ 16735.2,MALDONADO WINDOWS/DOOR -- Plan Amendment(BCP2021-020420),In Review,"Windows, Doors and Garage Doors"
4/23/2021,BCP2019-050524A,Building - Amendment,DRIVEWAY- REPLACE CONCRETE WITH PAVERS.,HOWIES SLICE OF SUNSHINE,In Review,undefined
4/23/2021,BCP2021-020389A,Building - Plan Amendment Application (Online),Online Permit - Changing 3 Panel Horizontal slider to CWS 8000 Series.FL16735.2FL20838.1,"Miller, James -- Plan Amendment(BCP2021-020389)",In Review,"Windows, Doors and Garage Doors"
4/22/2021,SWO2021-04027,Building/Enforcement/Stop Work Order/SWO,*3X FEE*-CONVERSION OF SHED INTO LIVING SPACE,,Stop Work Order,undefined
4/22/2021,SWO2021-04026,Building/Enforcement/Stop Work Order/SWO,***3X FEE*** POSTING ONLINE SHOWS PROPERTY WAS GUTTED INCLUDING BATHROOMS WITHOUT A PERMIT.,,Received,undefined
4/22/2021,BCP2021-040832,Building - Over the Counter Permit,Online Permit - Electrical - Replace electrical panel in garage (Change Panel Box),LESZEK KUBISZYN,Active,Electrical
4/22/2021,BCP2021-040828,Building - Over the Counter Permit,Online Permit - Water Heater Change Out - Replace Water Heater,Water Heater,Active,Water Heater Change Out
4/22/2021,BCP2021-040818,Building - Over the Counter Permit,Online Permit - A/C Change Out - Adding 2 Ductless Mini-Splits to a conditioned space.1.0 Ton in the master bedroom. 1.5 Ton in the living room. Electrician will be added to permit.,Christine Kitchen,Active,A/C Change Out
4/22/2021,BCP2021-040816,Building - Over the Counter Permit,"Online Permit - A/C Change Out - hvac equal change out- 2 ton (Air Handler,Condenser)","Zigman, Art",Active,A/C Change Out
4/22/2021,BCP2021-040814,Building - Over the Counter Permit,"Online Permit - A/C Change Out - ECO. Install a new Rheem 2.5 ton heat pump system with 5 KW heater. SEER 14. M#WH1T3617STANJA & WP1430AJ1NA (Air Handler,Condenser)",Sunshine APMC,Active,A/C Change Out
4/22/2021,BCP2021-040812,Building - Over the Counter Permit,Online Permit - A/C Change Out - EQUAL CHANGE OUT OF 3 TON 14 SEER STRAIGHT COOL PACKAGE UNIT (Package Unit),HVAC EQUAL CHANGE OUT,Active,A/C Change Out
4/22/2021,BCP2021-040809,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Equal AC change out, install new Bosch 4 ton 18 seer Heat pump.Model #'s - BVA-48WN1-M18;  BOVA-60HDN1-M18M (Air Handler,Condenser)",VanNortwick,Active,A/C Change Out
4/22/2021,BCP2021-040807,Building - Over the Counter Permit,Online Permit - Sewer Repair - Replacement - Cut and cap existing sewer,1020 Sunset Point,Completed,Sewer Repair - Replacement
4/22/2021,BCP2021-040806,Building - Over the Counter Permit,Online Permit - Water Heater Change Out - 50GAL ELECTRIC WATER HEATER REPLACEMENT,TRAN,Active,Water Heater Change Out
4/22/2021,BCP2021-040805,Building - Over the Counter Permit,"Online Permit - A/C Change Out - ELEVATOR ROOM-ECO 2.5 TON HEAT PUMP DAIKIN MINI SPLIT SYS. COND MOD# RX30NMVJU, HEAD MOD# FTX30NVJU (Air Handler,Condenser)",ISLAND POINT,Active,A/C Change Out
4/22/2021,BCP2021-040804,Building - Over the Counter Permit,Online Permit - A/C Change Out - Equal Change out Bosch 2.5 ton package unit Model No.: SV001HZCFLETPDDXAT (Package Unit),Robert Brissette,Active,A/C Change Out
4/22/2021,BCP2021-040801,Building - Over the Counter Permit,"Online Permit - A/C Change Out - EQUAL CHANGE OUT, NO ELECTRIC, 2.5 TON CONDENSER UNIT ONLY (EXISTING AIR HANDLER TO REMAIN), 15 SEER.  AHRI #204837386 (Condenser)",KELLEY,Active,A/C Change Out
4/22/2021,BCP2021-040793,Building - Over the Counter Permit,Online Permit - Electrical - SERVICE PANEL UPGRADE TO 200 AMP (Upgrade Service),SERVICE PANEL UPGRADE,Active,Electrical
4/22/2021,BCP2021-040784,Building - Over the Counter Permit,"Online Permit - A/C Change Out - AC change out (Air Handler,Condenser)",AC Change out,Active,A/C Change Out
4/22/2021,BCP2021-040774,Building - Over the Counter Permit,Online Permit - A/C Change Out - Equal change out duct replacement,Yunka,Active,A/C Change Out
4/22/2021,HOU2021-00037,Building/Enforcement/Housing/HOU,Foundation issues. Roof leaks.,,Received,undefined
4/22/2021,FIR2021-04023,Building - Fire,NEW FIRE SPRINKLER IN TRIPLEX,1277 PARK ST JADE GREEN,In Review,Fire Sprinkler
4/22/2021,FIR2021-04022,Building - Fire,NEW FIRE SPRINKLER IN GARAGE. REFERENCE BCP2020-120810 FOR RECORDED NOC.,JADE GREEN,In Review,Fire Sprinkler
4/22/2021,21TMP-005761,Building - Over the Counter Permit,sewer cut and cap,Serena By the Sea,,
4/22/2021,21TMP-005731,Building - Over the Counter Permit,AC CHANGE OUT  3 TON 14 SEER HP,MARCOS,,
4/22/2021,ENG2021-04003,Building - Engineering,Crane Work,Skyview ROW 2021-144,Received,Right of Way
4/22/2021,BCP2021-040872,Building - Construction Permit,Online Permit - Renovation of classrooms and gang restrooms at the Long Center.,The ARC Tampa Bay Classroom and Bathroom Renovations,Received,Remodel
4/22/2021,BCP2021-040833,Building - Construction Permit,Online Permit - Demolition of existing structure,Druid,Additional Info Required,Demolition
4/22/2021,BCP2021-040830,Building - Construction Permit,Online Permit - <300K - Remove/replace existing. Install underlayment (FL2569-R21) and Certainteed Shingles (FL5444-R16),1576 Gentry,Active,Roof
4/22/2021,BCP2021-040829,Building - Construction Permit,Online Permit - Construct in-ground pool & spa with paver deck & footer,Murphy Pool,In Review,Other
4/22/2021,BCP2021-040827,Building - Construction Permit,Online Permit - Master bedroom and bath add-on and kitchen renovation,House Renovation,Additional Info Required,Remodel
4/22/2021,BCP2021-040826,Building - Construction Permit,Online Permit - install 112 of 6 h pvc fence,holster fence,Revisions Needed,Fence
4/22/2021,BCP2021-040825,Building - Construction Permit,Online Permit - TPO ROOF OVER MOBILE HOME 12772.1 FLAT PITCH 12772.1 18 SQ.,HRABE,Active,Roof
4/22/2021,BCP2021-040824,Building - Construction Permit,"Online Permit - R/R 9 Windows, size for size, Impact, FL.16735, FL.13010, FL.16177,",Fripp 34-97202,Active,"Windows, Doors and Garage Doors"
4/22/2021,BCP2021-040823,Building - Construction Permit,Online Permit - Installation of 195' of 6'H PVC privacy fence,Roberts,Completed,Fence
4/22/2021,BCP2021-040822,Building - Construction Permit,Online Permit - new Kitchen and electrical,Kitchen Renovation,Received,Remodel
4/22/2021,BCP2021-040821,Building - Construction Permit,Online Permit -<300k install a new GAF Timberline High Definition asphalt/fiberglass shingle roof over a solid adhesive backed modified asphalt membrane and a GAF hot mopped 5-ply system with a granulated cap sheet on the flat deck,RE ROOF,Additional Info Required,Roof
4/22/2021,BCP2021-040820,Building - Construction Permit,Online Permit - Garage Door Replacement,Brian Sims,Active,"Windows, Doors and Garage Doors"
4/22/2021,BCP2021-040819,Building - Construction Permit,Online Permit - <300k 13SQ MODIFIED BITUMEN RE-ROOF (FL2533.1),BARRY,Active,Roof
4/22/2021,BCP2021-040817,Building - Construction Permit,"Online Permit - INSTALL SHUTTERS WITH ELECTRIC, FL.5790.1",Wixted 2,In Review,"Windows, Doors and Garage Doors"
4/22/2021,BCP2021-040815,Building - Construction Permit,Online Permit - <300k re-roof flat deckmodified FL19979,2801 Forest View Dr,Additional Info Required,Roof
4/22/2021,BCP2021-040813,Building - Construction Permit,INSTALL 15 PANELS OF 6' WOOD FENCE AND 2 FENCE GATE KITS,JOAN PITTMAN,In Review,Fence
4/22/2021,BCP2021-040811,Building - Construction Permit,Online Permit - INSTALL MANUAL SHUTTER,Dragoni,Active,"Windows, Doors and Garage Doors"
4/22/2021,BCP2021-040810,Building - Construction Permit,"INSTALL VINYL FENCE, 6FT IN HEIGHT AND 65' LF.",ROBERT KENNE,In Review,Fence
4/22/2021,BCP2021-040808,Building - Construction Permit,Online Permit - CHANGEOUT 150 AMP BREAKER WITH GROUNDING,SINNOTT,Active,Electrical
4/22/2021,BCP2021-040803,Building - Construction Permit,"CONDO RENOVATIONS: KITCHEN, BATHS, FLOORING",STEVEN PACK/TAMARA LEVIN,In Review,Remodel
4/22/2021,BCP2021-040802,Building - Construction Permit,Online Permit - 154' 6' board on board privacy2 walk gates,Steve Lusina,Additional Info Required,Fence
4/22/2021,BCP2021-040800,Building - Construction Permit,Online Permit -<300k Roof ReplacementFL10674FL34539 SQ 18Pitch 4/12,1003 Pennsylvania Avenue,Active,Roof
4/22/2021,BCP2021-040799,Building - Construction Permit,Online Permit - Replace (1) Existing Garage Door with a FL Approved Door.Size:16 X 7 FL#:14170.22,KORS/813-240-6035,Active,"Windows, Doors and Garage Doors"
4/22/2021,BCP2021-040798,Building - Construction Permit,Online Permit - 198' 6' white vinyl privacy2 walk gates,Raymond Pruitt,Active,Fence
4/22/2021,BCP2021-040797,Building - Construction Permit,Online Permit - Remove and Replace 2 windows and 1 SG door.FL16804.5FL14608.5FL14605.1,"Nikolajew, M",Additional Info Required,"Windows, Doors and Garage Doors"
4/22/2021,BCP2021-040796,Building - Construction Permit,Online Permit - Exploratory cosmetic demo and removal of fungal damaged materials,Gee,Received,Other
4/22/2021,BCP2021-040795,Building - Construction Permit,Online Permit - ECO of 5 ton 14 SEER AC system with 10 kw heat,Dayton Andrew AC Changeout,In Review,A/C Change Out
4/22/2021,BCP2021-040794,Building - Construction Permit,"Online Permit - REPLACE 14 IMPACT WINDOWS, SIZE FOR SIZE FL9520.1, FL16177.1, FL16736.1, FL16736.2",DUFFIE,Active,"Windows, Doors and Garage Doors"
4/22/2021,BCP2021-040792,Building - Construction Permit,Online Permit - equal c/o of 4twv0036 / tam9a0c42,Hoffmeyer 16822833,Received,A/C Change Out
4/22/2021,BCP2021-040791,Building - Construction Permit,"KITCHEN REMODEL, REPLACING KITCHEN CABINETS. ADDING ISLAND W/ SINK & DISHWASHER.",STEPHEN & SUSAN VENDEMIA,In Review,Replacement
4/22/2021,BCP2021-040790,Building - Construction Permit,Online Permit -<300k REMOVE AND REPLACE 38 SQ. SHINGLE ROOF 6/12 PITCH  DRY-IN -RESISTO PEEL & SEAL-FL#2569-R21--DURATION SHINGLE FL#10674-R,liem ector,Additional Info Required,Roof
4/22/2021,BCP2021-040789,Building - Construction Permit,Online Permit - INSTALL ROOF MOUNTED SOLAR PV SYSTEM,ROBERTS SOLAR PV,In Review,Solar / Photovoltaic
4/22/2021,BCP2021-040788,Building - Construction Permit,Online Permit - Installing 160 feet 6'h T&G PVC fence with 1 6'hx5'w gate and removing 150 feet of existing fence,Ranee Jackson,Completed,Fence
4/22/2021,BCP2021-040787,Building - Construction Permit,"Online Permit - Remove and replace 2 sliding glass doors, 4 windows, and 2 swing doors. Size for Size.",Hoeft,Active,"Windows, Doors and Garage Doors"
4/22/2021,BCP2021-040786,Building - Construction Permit,Online Permit - Total demolition of existing structures,Serena by the Sea,In Review,Demolition
4/22/2021,BCP2021-040785,Building - Construction Permit,"Online Permit - 3SQ 1STY 8/12 PITCH: TEAR OFF EXISTING ROOF MATERIAL AND RENAIL DECK TO CODE. RESISTO APOC WEATHER ARMOR SB-1 UNDERLAYMENT (FL27076-R1) INSTALL A GAF SHINGLE (FL10124-R29)4SQ 1STY FLAT ROOF: TEAR OFF EXISTING ROOF MATERIAL AND RENAIL DECK TO CODE. INSTALL A RESISTO MODIFIED BITUMEN ROOF SYSTEM. (FL17084.1 R10) (1E, PG3, W-14)",NOBLE SIDEHOUSE,Active,Roof
4/22/2021,BCP2021-040782,Building - Construction Permit,Online Permit - THIS IS FOR SHED 2SQ 1STY 5/12 PITCH: TEAR OFF EXISTING ROOF MATERIAL AND RENAIL DECK TO CODE. RESISTO APOC WEATHER ARMOR SB-1 UNDERLAYMENT (FL27076-R1) INSTALL A GAF SHINGLE (FL10124-R29),NOBLE GARAGE,Active,Roof
4/22/2021,BCP2021-040781,Building - Construction Permit,Online Permit - Mount pool solar panels flat to roof pitch. NO ELECTRIC,Spicer Pool Solar,In Review,Other
4/22/2021,BCP2021-040780,Building - Construction Permit,500 GALLON LP GAS TANK PIPE TO EXISTING GENERATOR INSTALLED BY OTHERS.,VAN GEORGE,Active,Replacement
4/22/2021,BCP2021-040779,Building - Construction Permit,Online Permit - EQUAL CHANGE OUT 4 TON 16 SEER HEAT PUMP SPLIT SYSTEM IN THE HORIZONTAL POSITION AND 2 BATHROOM EXHAUST FANS,FERNANDES,Active,A/C Change Out
4/22/2021,BCP2021-040777,Building - Construction Permit,"Online Permit - Cut and remove asphalt excavate, and replace 15ft of existing sewer line from the cleanout by the curb to the inlet connection at the existing manhole",Mr & Mrs Crab EMERGENCY SEWER REPAIR,Received,Repair
4/22/2021,BCP2021-040776,Building - Construction Permit,"Online Permit - 5SQ 1STY FLAT ROOF: TEAR OFF EXISTING ROOF MATERIAL AND RENAIL DECK TO CODE. INSTALL A RESISTO MODIFIED BITUMEN ROOF SYSTEM. (FL17084.1 R10) (1E, PG3, W-14)16SQ 1STY 8/12 PITCH: TEAR OFF EXISTING ROOF MATERIAL AND RENAIL DECK TO CODE. RESISTO APOC WEATHER ARMOR SB-1 UNDERLAYMENT (FL27076-R1) INSTALL A GAF SHINGLE (FL10124-R29)",NOBLE,Active,Roof
4/22/2021,BCP2021-040775,Building - Construction Permit,"Online Permit - Remove and replace 5 windows and 2 doors size for size all impact FL15213.1, FL15413.7, FL16851.4, FL17184.9",Mallett,Active,"Windows, Doors and Garage Doors"
4/22/2021,BCP2020-090761B,Building - Amendment,"METAL COLUMNS, CONCRETE BLOCKS, STONE CAP FOOTINGS",FAIRFIELD INN,In Review,undefined
4/22/2021,BCP2020-060413B,Building - Amendment,ADA COMPLIANT BATHROOM PLANS,SH 800 COURT LLC,In Review,undefined
4/21/2021,SWO2021-04025,Building/Enforcement/Stop Work Order/SWO,TAKING OUT WINDOWS AND TURNING THEM INTO WALLS.,,Received,undefined
4/21/2021,SWO2021-04024,Building/Enforcement/Stop Work Order/SWO,ENCLOSING CAR PORT WITHOUT PERMITS. PREVIOUSLY ISSUED SWO FOR ENCLOSING SCREENED IN PORCH AT SAME ADDRESS.,,No Violation,undefined
4/21/2021,SWO2021-04023,Building/Enforcement/Stop Work Order/SWO,*3X FEE*-Interior remodel,,Received,undefined
4/21/2021,SWO2021-04022,Building/Enforcement/Stop Work Order/SWO,*3X FEE*-Possible new fence with tall posts.,,Received,undefined
4/21/2021,SGN2021-04008,Building - Sign,DEMOLISH EXISTING 16' TALL POLE SIGN. CAP ELECTRIC TO POLE SIGN. INSTALL NEW BLADE SIGN,LISA K. CERCEK,In Review,undefined
4/21/2021,BCP2021-040772,Building - Over the Counter Permit,"Online Permit - A/C Change Out - E/C/O OF A 2 TON SPLIT SYSTEM (Air Handler,Condenser)",KIM TRAN,Active,A/C Change Out
4/21/2021,BCP2021-040771,Building - Over the Counter Permit,"Online Permit - A/C Change Out - E.C.O. 2.5T 17 SEER DAIKIN HP (Air Handler,Condenser)",MORRISON,Active,A/C Change Out
4/21/2021,BCP2021-040770,Building - Over the Counter Permit,"Online Permit - A/C Change Out - A/C EQUAL CHANGEOUT - 2.5 TON STRAIGHT COOL SPLIT SYSTEM WITH APPROPRIATE SIZE HEAT STRIP (Air Handler,Condenser)","Thomas, Terri",Active,A/C Change Out
4/21/2021,BCP2021-040766,Building - Over the Counter Permit,Online Permit - Electrical - Emergency repair for the meter can. Change out (Change Panel Box),Meter box change,Active,Electrical
4/21/2021,BCP2021-040765,Building - Over the Counter Permit,Online Permit - Electrical - Direct Panel Replacement (Change Panel Box),Mark Segerstrom,Active,Electrical
4/21/2021,BCP2021-040758,Building - Over the Counter Permit,Online Permit - A/C Change Out - RUUD 3.5 TON 14 SEER PACKAGE UNIT STRAIGHT COOL 7KW HEATER MODEL #RSPM-A043JK29H X 33W X 59DDIGITAL THERMOSTAT UPGRADES TO CODE COMPLETE STARTUP (Package Unit),AC CHANGEOUT- MECHANICAL,Active,A/C Change Out
4/21/2021,BCP2021-040757,Building - Over the Counter Permit,"Online Permit - A/C Change Out - E/C/O OF A 2.5 TON AIR HANDLER WITH AN IN THE WALL CONDENSER (Air Handler,Condenser)",JEFF MONTGOMERY,Active,A/C Change Out
4/21/2021,BCP2021-040753,Building - Over the Counter Permit,"Online Permit - A/C Change Out - A/C Changeout. 3 Ton 16 Seer HP 5KW Rheem (Air Handler,Condenser)","Strand, Sherrie",Active,A/C Change Out
4/21/2021,BCP2021-040741,Building - Over the Counter Permit,Online Permit - Sewer Repair - Replacement - replace water service to home,Davis Water Service,Active,Sewer Repair - Replacement
4/21/2021,BCP2021-040732,Building - Over the Counter Permit,"Online Permit - A/C Change Out - e/c/o Cond on roof - c/o A/H vert in closet - 8KW (Air Handler,Condenser)",Gorman,Active,A/C Change Out
4/21/2021,BCP2021-040726,Building - Over the Counter Permit,"Online Permit - A/C Change Out - e/c/o cond on roof - c/o A/H vert in closet - 8kw (Air Handler,Condenser)",Beeten,Active,A/C Change Out
4/21/2021,BCP2021-040720,Building - Over the Counter Permit,"Online Permit - A/C Change Out - e/c/o cond on the roof - c/o A/H vert in closet - 8kw - (Air Handler,Condenser)",Merritt,Active,A/C Change Out
4/21/2021,BCP2021-040717,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Trane condenser $TTR6042J1000 Trane Air Handler TEM6AoD48H41S (Air Handler,Condenser)",equal changeout,Active,A/C Change Out
4/21/2021,BCP2021-040716,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Equal Change-out installing Ruud 2 ton 14 SEER Straight Cool Split System with 7kw heat pkg.  Air Handler in closet (Air Handler,Condenser)",Riegel,Active,A/C Change Out
4/21/2021,BCP2021-040715,Building - Over the Counter Permit,"Online Permit - A/C Change Out - equal ac change out,  Rheem 16 SEER 2.5 Ton Air Conditioner, Condenser-RA1630Air handler-RH1T3617Auxiliary heat strip-5kw (Air Handler,Condenser)","Salih, Majid",Active,A/C Change Out
